ra dec no1 no2 no3 no4 no5 no6 no7 no8 no9 no10 no11 dist no12 Pcol
35.5642 2.13801 16.055 -48.5576 -20.621 7.94913 -32.5537 35.3016 25.2402 -1.62011 -11.2482 -72.7887 221.887 43.4269 -172.5 4
298.184 -2.65905 353.062 46.8356 -24.9281 -3.88523 34.2944 22.1825 -41.3985 2.18126 40.8192 -20.6102 73.8453 47.0176 27.8457 1
358.774 4.68616 2.11569 -13.6014 -16.8319 0.880439 -5.77029 24.4495 -0.523348 -2.00463 -263.836 -48.4021 233.629 24.5371 199.584 0
84.1486 -0.100455 125.512 -74.1613 21.6806 20.5713 -89.08 9.43999 92.1129 0.162345 -54.7773 9.47367 -56.2861 92.5955 47.5696 4
183.816 -12.017 175.652 19.9536 61.523 4.1452 19.8516 -56.7707 -3.7865 12.1115 101.671 24.2996 -72.8186 58.1717 72.1743 3
299.109 -7.2645 359.936 47.0925 -28.7645 -0.0398472 38.478 25.3506 -45.5295 6.64279 76.7022 -26.4155 4.54818 52.533 -48.8688 3
289.104 7.44318 333.319 50.9524 -21.9715 -14.5596 39.9735 16.7041 -48.2263 -6.6677 79.0648 -23.2108 -16.7325 51.471 -50.9338 2
9.62486 1.31095 8.21239 -23.3718 -17.587 3.54859 -10.7358 26.6752 4.52367 -0.61916 -281.565 -26.4232 166.671 27.0631 186.23 0
53.1446 -4.78315 41.1928 -60.9715 -5.39622 10.85 -29.6859 20.2927 27.0712 2.83098 -136.081 42.6332 -100.02 33.9509 150.769 4
356.766 0.165343 6.14769 -10.6146 -16.2424 2.50355 -4.38116 23.7467 -1.34169 -0.068637 -236.026 -60.1293 196.665 23.7846 188.098 0
163.988 -7.61979 175.898 -0.0636715 70.5186 4.55492 -0.0707671 -60.6697 17.4111 8.44401 -30.7762 22.3215 -91.8104 63.6809 -28.9987 2
358.4 -0.164181 6.8699 -12.1233 -16.9007 2.87966 -5.17134 24.6138 -0.687568 0.0705588 -218.7 -18.1499 182.823 24.6235 171.769 0
68.4978 -3.1354 69.3906 -71.8562 1.94838 13.435 -43.8016 16.8696 42.8213 2.52112 -51.7566 31.598 -7.71729 46.0935 22.2167 4
278.373 5.22266 325.272 60.8896 -6.85065 -9.60133 30.2673 5.02378 -34.1317 -3.15345 124.781 9.3772 -108.91 34.6433 -147.643 2
357.331 2.09542 4.36917 -11.6136 -15.8384 1.74502 -4.70753 23.3435 -1.08839 -0.855025 -233.341 -39.7711 206.342 23.3845 183.393 0
358.703 -0.13317 6.91321 -12.4253 -17.1624 2.92972 -5.36278 24.9175 -0.564049 0.0579297 -213.503 5.56336 233.334 24.9239 157.435 0
359.65 3.11196 3.89735 -14.1019 -16.6013 1.60793 -5.94301 24.3554 -0.148652 -1.32417 -242.942 -55.0799 184.774 24.3918 186.425 0
0.782816 -0.82678 8.12075 -14.276 -16.1675 3.3059 -5.95489 24.1439 0.329892 0.348454 -238.631 -47.5077 221.697 24.1487 167.77 0
359.894 5.23395 1.81647 -14.8103 -15.1501 0.702495 -5.85972 22.828 -0.0422608 -2.09116 -218.817 -45.0731 205.556 22.9236 157.516 0
22.3783 -9.7087 24.5136 -32.0602 -20.1364 12.3749 -18.6807 32.0764 13.2067 5.93489 17.3564 -52.6787 167.628 35.1928 -120.886 4
0.230427 1.01653 6.13794 -14.1816 -17.064 2.5879 -6.11617 24.9602 0.100383 -0.44289 -216 -49.8429 241.246 24.9643 143.946 0
185.249 -1.8494 186.527 19.2537 66.9939 -6.86398 21.0916 -63.6606 -5.84859 2.06422 27.291 12.7942 -77.1277 63.962 -1.20839 3
358.208 -2.08318 8.72462 -11.4726 -16.4664 3.6013 -4.81854 24.1981 -0.757192 0.880623 -226.316 -20.0654 224.864 24.2259 171.52 0
167.735 19.862 203.499 -2.84369 24.4757 -7.5978 -0.946518 -17.5342 3.81187 -6.48209 115.351 -5.20824 -147.728 19.0787 115.058 3
347.062 3.16414 0.944446 -1.87599 -15.6749 0.373813 -0.74282 22.0812 -5.07266 -1.25246 -187.388 -61.9474 238.468 22.6909 178.435 0
65.8614 3.71025 47.4084 -76.1039 3.54846 3.7555 -20.6191 8.66814 19.3429 -1.37451 -140.254 74.9059 -186.81 21.2408 217.383 3
358.07 2.02948 4.60896 -12.3179 -16.2947 1.87798 -5.10338 23.8933 -0.804956 -0.847162 -188.415 -15.4622 203.347 23.9218 138.887 0
100.183 9.50597 176.916 -65.8782 16.9368 0.535247 -22.2218 -4.24533 23.6353 -4.02106 -155.263 42.275 17.8494 24.3479 -78.7222 4
270.435 -1.63323 325.56 71.3715 0.640738 -4.36137 22.8775 0.18313 -24.1319 0.688092 254.158 -47.5335 172.562 24.1424 105.153 3
333.043 -16.5964 17.4742 15.8838 -12.3194 6.08206 5.76358 17.9889 -9.14868 6.01501 183.568 -186.261 146.153 21.0589 -182.205 4
359.338 0.729448 6.2085 -13.247 -15.5741 2.4558 -5.34579 23.3254 -0.269406 -0.296997 -254.393 -28.116 231.158 23.3288 190.242 0
316.648 -5.44054 2.36653 29.6685 -30.784 1.56154 21.5429 31.5052 -29.7426 4.12651 -31.5836 0.779699 156.016 43.5227 104.673 1
359.619 2.18158 4.82335 -13.8587 -16.9557 2.02151 -5.93131 24.744 -0.164578 -0.942624 -214.541 -69.7246 211.708 24.7625 151.156 0
357.592 3.2156 3.31573 -12.1238 -16.9069 1.38509 -5.14435 24.4339 -1.02745 -1.37395 -209.529 -12.8391 215.318 24.4941 158.565 0
356.739 1.63517 4.68662 -10.9324 -16.777 1.9493 -4.60821 24.2493 -1.38151 -0.693365 -249.851 -43.9541 240.706 24.2985 195.32 0
353.526 3.91412 1.69247 -8.32771 -16.4854 0.693967 -3.43937 23.5404 -2.67146 -1.62099 -232.596 -37.3255 230.511 23.7469 195.566 0
305.887 -4.54743 358.36 39.9142 -31.8703 -1.11285 32.5309 29.6259 -40.9464 4.01969 99.1843 5.04588 -6.08793 50.6997 -80.0608 3
307.058 -0.786052 354.089 37.8022 -35.3516 -4.38467 33.03 32.4709 -43.0003 0.739279 27.6874 -22.0561 62.0322 53.8881 18.056 2
257.25 -0.0636879 279.608 76.5359 6.05231 -5.6031 23.7362 -5.3865 -23.8052 0.0271299 106.997 34.4762 -195.121 24.407 -201.831 3
358.398 0.559078 6.15068 -12.2935 -17.0252 2.58914 -5.26598 24.7214 -0.691245 -0.241327 -243.522 -54.5616 256.409 24.7322 176.262 0
231.072 -4.97359 200.54 64.1029 21.4555 -5.4158 31.7933 -22.1237 -27.3904 3.06406 217.261 -5.46353 61.8714 35.3423 145.353 4
357.204 -1.34823 7.74953 -10.678 -15.2105 3.02264 -4.22662 22.7775 -1.11251 0.536716 -233.768 -51.7447 217.312 22.811 180.5 0
189.109 -9.89359 178.908 24.6914 58.5525 0.98269 23.7061 -55.2007 -8.85047 9.75066 114.553 22.4946 -65.5902 56.7496 77.0511 3
184.638 -12.223 175.585 20.7806 62.4742 4.2828 21.1135 -57.9704 -4.70243 12.5992 98.0124 17.3994 -70.3832 59.5099 67.6454 3
167.447 -2.78595 181.402 2.16208 78.6545 -1.75308 2.70597 -69.9287 15.5712 3.48623 -74.7722 18.1518 -83.1017 71.7262 -78.2754 1
70.9666 3.40357 67.5115 -78.8299 3.71262 7.94287 -43.5352 14.4463 41.8758 -2.63453 -54.1812 30.9919 -50.2917 44.3759 58.901 4
219.796 -2.84196 197.101 52.792 27.6107 -6.34094 28.4004 -27.3641 -22.7956 1.76802 232.971 -2.40764 -0.812728 35.6589 134.432 3
1.18748 1.98328 5.3973 -15.3379 -17.6886 2.33266 -6.80196 25.6943 0.532604 -0.889948 -252.943 -52.1597 214.251 25.7152 181.449 0
168.919 -0.167872 184.293 2.98619 77.059 -5.25851 3.66495 -69.0389 13.5213 0.206122 10.7475 18.4985 -82.9481 70.3508 4.99885 2
234.255 5.56057 223.905 61.3086 19.064 -11.6106 30.5925 -20.2772 -28.1717 -3.37927 228.68 -26.0542 78.3533 34.8745 156.508 3
210.997 21.4172 221.495 33.8081 11.561 -4.03391 4.07705 -5.84726 -3.51298 -2.67564 35.9784 112.129 -310.649 7.32738 -212.187 3
296.963 2.24033 345.747 46.3437 -25.1659 -8.17102 34.7827 21.7814 -42.8175 -1.87935 38.7545 -32.3084 72.4283 48.076 31.9627 1
358.428 -0.288869 7.00058 -12.1207 -15.8366 2.80432 -4.94139 23.5244 -0.645634 0.118649 -256.602 -45.2154 213.03 23.5336 198.893 0
356.695 0.592788 5.70808 -10.6466 -16.2074 2.31979 -4.38457 23.6917 -1.36793 -0.245534 -216.988 -19.7182 235.737 23.7324 166.716 0
229.251 7.67305 220.851 56.1446 12.0893 -4.40008 10.0278 -7.81145 -9.06594 -1.61227 261.478 -32.6316 -88.3884 12.0752 48.6754 4
359.476 -0.739758 7.70724 -13.0295 -17.1564 3.26929 -5.64116 25.0184 -0.228853 0.32305 -252.153 -39.6979 205.38 25.0216 191.952 0
18.7317 4.13441 7.55929 -32.8782 -36.6293 5.78994 -28.4492 49.5017 16.7859 -3.77834 29.3099 -47.3232 199.989 52.4067 -138.195 4
357.94 0.603097 5.99627 -11.858 -17.3228 2.55491 -5.13527 24.9732 -0.898473 -0.263048 -273.053 -43.7183 236.499 24.9907 212.697 0
356.166 1.2188 4.96334 -10.2786 -16.7057 2.05877 -4.31522 24.1243 -1.61654 -0.514402 -233.448 -26.4484 197.882 24.1838 191.279 0
70.0781 6.30592 54.5436 -80.8403 5.2944 2.39615 -18.2437 6.25854 17.2684 -2.02971 -141.221 88.0965 -212.442 18.4793 234.197 4
6.59066 2.48073 6.2078 -20.7048 -17.4017 2.65433 -9.2777 26.0434 3.00903 -1.13581 -263.691 -45.0855 190.916 26.2413 173.154 0
280.505 -0.00011347 336.818 62.1469 -2.62128 -4.12038 19.8082 4.08454 -22.0283 4.43692e-05 259.403 -29.0089 180.35 22.4038 53.3811 4
141.953 -2.39172 175.345 -22.6128 45.8974 3.16731 -16.2549 -33.2632 26.0317 1.7642 -170.296 18.7744 -75.8224 42.2753 -126.125 1
355.535 -0.809095 6.81217 -9.18749 -16.9369 2.85956 -3.89923 24.3447 -1.90096 0.34485 -250.459 -35.1396 205.397 24.4212 208.591 0
31.4903 -4.54621 22.95 -42.3947 -18.5152 10.8046 -25.2973 31.8938 19.5371 2.97396 -104.618 17.496 36.0866 37.5201 51.8539 2
347.523 -2.94993 6.99969 -0.901048 -15.8476 2.80531 -0.362048 22.4493 -4.96742 1.18483 164.491 -68.4208 237.995 23.0228 -175.325 4
286.98 1.64395 339.999 55.6695 -19.4994 -9.64588 41.2941 14.5977 -47.8054 -1.43456 88.8742 -15.7013 -15.7133 50.005 -57.0462 2
6.06247 5.48066 2.95419 -20.8607 -17.1041 1.24396 -9.19806 25.5683 2.71552 -2.46703 -247.015 -19.8718 192.827 25.8302 160.894 0
356.891 2.28975 4.07318 -11.2307 -16.6828 1.68652 -4.71458 24.1522 -1.31189 -0.967148 -257.182 -71.4961 202.044 24.2071 207.288 0
356.995 -0.580988 6.94056 -10.6592 -16.9975 2.92135 -4.55019 24.5648 -1.28967 0.249443 -240.038 -55.756 237.524 24.5999 183.612 0
145.882 8.04925 187.276 -21.2257 33.0792 -3.32955 -10.2108 -23.1191 15.6634 -3.94915 -209.384 58.6354 -72.5584 28.2033 -174.261 3
357.022 2.24329 4.14995 -11.3474 -16.5053 1.70554 -4.72963 23.9869 -1.24791 -0.940907 -222.98 -46.3951 182.11 24.0378 178.925 0
359.584 1.62204 5.3755 -13.6953 -17.276 2.28437 -5.94206 25.0869 -0.182092 -0.710418 -239.261 7.36312 226.426 25.0976 178.498 0
282.102 8.28321 325.325 56.0858 -11.1429 -12.5514 32.8142 8.20357 -38.259 -5.69654 126.014 12.5235 -61.4714 39.5411 -112.811 2
182.009 -2.20577 185.37 16.1879 61.8462 -5.15545 15.9917 -57.2836 -2.00921 2.20775 84.4215 25.8379 -73.9125 57.3614 57.7905 3
