time lambda_sum beta_sun ra dec x_sun y_sun z_sun x_gc y_gc z_gc dist v_gsr
-7.9961 99.3838 5.36535 29.7451 -8.51732 -8.56199 51.8098 4.93185 29.31 5.0304 -47.984 52.7436 62.7483 
-7.9889 98.4261 5.27748 28.869 -8.92598 -7.76226 52.4008 4.89312 28.694 5.2877 -48.722 53.1981 60.1527 
-7.9817 97.471 5.18956 27.9937 -9.33262 -6.94502 52.9595 4.85115 28.053 5.5435 -49.433 53.6328 57.5973 
-7.9744 96.5189 5.10174 27.1194 -9.73709 -6.11198 53.4874 4.80633 27.389 5.7975 -50.118 54.0496 55.0774 
-7.9672 95.5691 5.01358 26.2453 -10.1392 -5.26362 53.9826 4.75821 26.702 6.0497 -50.775 54.4469 52.5914 
-7.96 94.6197 4.9256 25.37 -10.5403 -4.39951 54.4469 4.70754 25.992 6.2998 -51.406 54.8268 50.1417 
-7.9527 93.6711 4.83727 24.4935 -10.9395 -3.52109 54.8786 4.65378 25.26 6.5478 -52.009 55.188 47.7242 
-7.9455 92.7242 4.74851 23.6163 -11.3363 -2.63029 55.2783 4.59702 24.508 6.7935 -52.584 55.5315 45.3384 
-7.9383 91.7756 4.65975 22.7355 -11.7326 -1.725 55.6463 4.53779 23.734 7.0367 -53.132 55.8577 42.9877 
-7.931 90.8282 4.57049 21.8535 -12.1264 -0.809294 55.9828 4.47572 22.942 7.2773 -53.652 56.1672 40.6634 
-7.9238 89.8794 4.48074 20.9678 -12.5188 0.118486 56.2861 4.41078 22.13 7.5152 -54.143 56.4588 38.3711 
-7.9166 88.9287 4.39076 20.0781 -12.9102 1.05758 56.5576 4.34345 21.299 7.7501 -54.606 56.734 36.1079 
-7.9094 87.9774 4.30014 19.1851 -13.2996 2.00584 56.7966 4.27336 20.451 7.982 -55.04 56.9925 33.8733 
-7.9021 87.0243 4.20909 18.2878 -13.6874 2.9632 57.0032 4.20081 19.586 8.2106 -55.445 57.2346 31.6668 
-7.8949 86.0693 4.11742 17.386 -14.0735 3.92872 57.1777 4.12572 18.705 8.4359 -55.821 57.4608 29.4842 
-7.8877 85.1118 4.02518 16.4789 -14.4581 4.90212 57.319 4.04817 17.808 8.6576 -56.167 57.6705 27.3269 
